"Fecha/Hora","Valor"
"2025-09-19T06:21:13","158.33"
"2025-09-19T06:21:28","158.34"
"2025-09-19T06:21:43","158.33"
"2025-09-19T06:21:59","158.33"
"2025-09-19T06:22:14","158.33"
"2025-09-19T06:22:29","158.31"
"2025-09-19T06:22:44","158.33"
"2025-09-19T06:22:59","158.33"
"2025-09-19T06:23:14","158.34"
"2025-09-19T06:23:29","158.34"
"2025-09-19T06:23:45","158.33"
"2025-09-19T06:24:00","158.34"
"2025-09-19T06:24:15","158.34"
"2025-09-19T06:24:30","158.33"
"2025-09-19T06:24:45","158.33"
"2025-09-19T06:25:00","158.34"
"2025-09-19T06:25:15","158.33"
"2025-09-19T06:25:31","158.31"
"2025-09-19T06:25:46","158.33"
"2025-09-19T06:26:01","158.33"
"2025-09-19T06:26:16","158.33"
"2025-09-19T06:26:31","158.33"
"2025-09-19T06:26:46","158.33"
"2025-09-19T06:27:01","158.33"
"2025-09-19T06:27:17","158.33"
"2025-09-19T06:27:32","158.33"
"2025-09-19T06:27:47","158.31"
"2025-09-19T06:28:02","158.33"
"2025-09-19T06:28:17","158.29"
"2025-09-19T06:28:32","158.31"
"2025-09-19T06:28:47","158.33"
"2025-09-19T06:29:03","158.31"
"2025-09-19T06:29:18","158.31"
"2025-09-19T06:29:33","158.29"
"2025-09-19T06:29:48","158.33"
"2025-09-19T06:30:03","158.31"
"2025-09-19T06:30:18","158.33"
"2025-09-19T06:30:33","158.33"
"2025-09-19T06:30:49","158.33"
"2025-09-19T06:31:04","158.33"
"2025-09-19T06:31:19","158.33"
"2025-09-19T06:31:34","158.34"
"2025-09-19T06:31:49","158.33"
"2025-09-19T06:32:04","158.31"
"2025-09-19T06:32:19","158.33"
"2025-09-19T06:32:35","158.33"
"2025-09-19T06:32:50","158.34"
"2025-09-19T06:33:05","158.33"
"2025-09-19T06:33:20","158.33"
"2025-09-19T06:33:35","158.33"
"2025-09-19T06:33:50","158.34"
"2025-09-19T06:34:05","158.33"
"2025-09-19T06:34:21","158.34"
"2025-09-19T06:34:36","158.34"
"2025-09-19T06:34:51","158.34"
"2025-09-19T06:35:06","158.33"
"2025-09-19T06:35:21","158.33"
"2025-09-19T06:35:36","158.34"
"2025-09-19T06:35:51","158.33"
"2025-09-19T06:36:07","158.34"
"2025-09-19T06:36:22","158.34"
"2025-09-19T06:36:37","158.34"
"2025-09-19T06:36:52","158.34"
"2025-09-19T06:37:07","158.33"
"2025-09-19T06:37:22","158.36"
"2025-09-19T06:37:37","158.36"
"2025-09-19T06:37:53","158.34"
"2025-09-19T06:38:08","158.36"
"2025-09-19T06:38:23","158.36"
"2025-09-19T06:38:38","158.36"
"2025-09-19T06:38:53","158.34"
"2025-09-19T06:39:08","158.36"
"2025-09-19T06:39:23","158.36"
"2025-09-19T06:39:38","158.36"
"2025-09-19T06:39:54","158.38"
"2025-09-19T06:40:09","158.36"
"2025-09-19T06:40:24","158.38"
"2025-09-19T06:40:39","158.36"
"2025-09-19T06:40:57","158.39"
"2025-09-19T06:41:09","158.38"
"2025-09-19T06:41:24","158.39"
"2025-09-19T06:41:40","158.39"
"2025-09-19T06:41:55","158.39"
"2025-09-19T06:42:10","158.39"
"2025-09-19T06:42:25","158.39"
"2025-09-19T06:42:40","158.39"
"2025-09-19T06:42:55","158.36"
"2025-09-19T06:43:10","158.36"
"2025-09-19T06:43:26","158.38"
"2025-09-19T06:43:41","158.38"
"2025-09-19T06:43:56","158.39"
"2025-09-19T06:44:11","158.39"
"2025-09-19T06:44:26","158.41"
"2025-09-19T06:44:41","158.41"
"2025-09-19T06:44:56","158.43"
"2025-09-19T06:45:12","158.43"
"2025-09-19T06:45:27","158.43"
"2025-09-19T06:45:42","158.43"
"2025-09-19T06:45:57","158.43"
"2025-09-19T06:46:12","158.41"
"2025-09-19T06:46:27","158.43"
"2025-09-19T06:46:42","158.41"
"2025-09-19T06:46:58","158.41"
"2025-09-19T06:47:13","158.43"
"2025-09-19T06:47:28","158.41"
"2025-09-19T06:47:43","158.41"
"2025-09-19T06:47:58","158.41"
"2025-09-19T06:48:13","158.41"
"2025-09-19T06:48:28","158.41"
"2025-09-19T06:48:44","158.41"
"2025-09-19T06:48:59","158.41"
"2025-09-19T06:49:14","158.38"
"2025-09-19T06:49:29","158.39"
"2025-09-19T06:49:44","158.39"
"2025-09-19T06:49:59","158.41"
"2025-09-19T06:50:14","158.41"
"2025-09-19T06:50:30","158.38"
"2025-09-19T06:50:45","158.38"
"2025-09-19T06:51:00","158.39"
"2025-09-19T06:51:15","158.39"
"2025-09-19T06:51:30","158.41"
"2025-09-19T06:51:45","158.38"
"2025-09-19T06:52:00","158.41"
"2025-09-19T06:52:16","158.39"
"2025-09-19T06:52:31","158.39"
"2025-09-19T06:52:46","158.41"
"2025-09-19T06:53:01","158.39"
"2025-09-19T06:53:16","158.39"
"2025-09-19T06:53:31","158.41"
"2025-09-19T06:53:46","158.43"
"2025-09-19T06:54:02","158.43"
"2025-09-19T06:54:17","158.43"
"2025-09-19T06:54:32","158.43"
"2025-09-19T06:54:47","158.43"
"2025-09-19T06:55:02","158.43"
"2025-09-19T06:55:17","158.43"
"2025-09-19T06:55:32","158.43"
